Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoskeleton-dependent Cytokinesis (GO:0061640)	1/86	0.09830757280729437	0.14068152660354194	0	0	10.174424552429668	23.601146819428006	ECT2
Regulation of Cytokinesis (GO:0032465)	1/86	0.09830757280729437	0.14068152660354194	0	0	10.174424552429668	23.601146819428006	ECT2
Establishment of Protein Localization to Organelle (GO:0072594)	1/87	0.09939427472817165	0.14142385375608424	0	0	10.055611729019212	23.214996269742276	RAN
Actomyosin Structure Organization (GO:0031032)	1/88	0.10047972148621662	0.14215596960265875	0	0	9.93953023488256	22.83904609412469	EPB41L2
Positive Regulation of Cellular Component Biogenesis (GO:0044089)	1/90	0.10264685505345643	0.14440150795655735	0	0	9.715192965315095	22.1162556930706	AJUBA
Mitotic Spindle Organization (GO:0007052)	1/96	0.1091182759636125	0.15264298154460398	0	0	9.098855835240274	20.15690355426019	RAN
Regulation of GTPase Activity (GO:0043087)	1/97	0.11019248853743883	0.15328452316101826	0	0	9.003623188405797	19.85772995832064	ECT2
Response to Calcium Ion (GO:0051592)	1/98	0.11126545974097125	0.15391721930834357	0	0	8.910354101299866	19.565679904837808	ECT2
Mitochondrial Translation (GO:0032543)	1/101	0.1144769389479113	0.1566195483408237	0	0	8.641739130434782	18.729948827545332	MRPS23
Regulation of Protein Phosphorylation (GO:0001932)	1/101	0.1144769389479113	0.1566195483408237	0	0	8.641739130434782	18.729948827545332	ECT2
Mitochondrial Gene Expression (GO:0140053)	1/104	0.11767729526173898	0.15896054953154604	0	0	8.388771633600676	17.95037060748583	MRPS23
Positive Regulation of Protein-Containing Complex Assembly (GO:0031334)	1/105	0.11874161531272115	0.15896054953154604	0	0	8.307692307692308	17.70207601668742	AJUBA
Positive Regulation of Cellular Component Organization (GO:0051130)	1/105	0.11874161531272115	0.15896054953154604	0	0	8.307692307692308	17.70207601668742	AJUBA
Glucose Homeostasis (GO:0042593)	1/105	0.11874161531272115	0.15896054953154604	0	0	8.307692307692308	17.70207601668742	BACE2
Negative Regulation of Translation (GO:0017148)	1/107	0.12086656552204234	0.160939972272666	0	0	8.150123051681707	17.221765081771377	AJUBA
